Polish name;English name;Latin name;Category;Conservation;Order;Family;Status;Chosen;Top 30;Top 140;Image
dzierzba pustynna;Isabelline shrike;Lanius isabellinus;A;pod ścisłą ochroną;Passeriformes;Laniidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lanius_isabellinus1.jpg/150px-Lanius_isabellinus1.jpg
dzierzba rdzawosterna;Red-tailed shrike;Lanius phoenicuroides;A;pod ścisłą ochroną;Passeriformes;Laniidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/0T4A6719.jpg/150px-0T4A6719.jpg
dzierzba rudogłowa;Woodchat shrike;Lanius senator;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Passeriformes;Laniidae;(l) Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Lanius_senator.jpg/150px-Lanius_senator.jpg
dzięcioł białogrzbiety;White-backed woodpecker;Dendrocopos leucotos;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Dendrocopos_leucotos.jpg/150px-Dendrocopos_leucotos.jpg
dzięcioł białoszyi;Syrian woodpecker;Dendrocopos syriacus;A;pod ścisłą ochroną;Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Syrian-Woodpecker-20051218m023.jpg/150px-Syrian-Woodpecker-20051218m023.jpg
dzięcioł czarny;Black woodpecker;Dryocopus martius;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Schwarzspecht.jpg/150px-Schwarzspecht.jpg
dzięcioł duży;Great spotted woodpecker;Dendrocopos major;A;pod ścisłą ochroną;Piciformes;Picidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Dendrocopos_major_4_%28Marek_Szczepanek%29.jpg/150px-Dendrocopos_major_4_%28Marek_Szczepanek%29.jpg
dzięcioł średni;Middle spotted woodpecker;Dendrocoptes medius;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Dendrocopos_medius_%28Marek_Szczepanek%29_cut.jpg/150px-Dendrocopos_medius_%28Marek_Szczepanek%29_cut.jpg
dzięcioł trójpalczasty;Eurasian three-toed woodpecker;Picoides tridactylus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Picoides_tridactylus_NAUMANN.jpg/150px-Picoides_tridactylus_NAUMANN.jpg
dzięcioł zielonosiwy;Gray-headed woodpecker;Picus canus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Picus_canus.jpg/150px-Picus_canus.jpg
dzięcioł zielony;Eurasian green woodpecker;Picus viridis;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Piciformes;Picidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/03_vgrue-10-11.jpg/150px-03_vgrue-10-11.jpg
dzięciołek;Lesser spotted woodpecker;Dryobates minor;A;pod ścisłą ochroną;Piciformes;Picidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Dendrocopos_minor_291108.jpg/150px-Dendrocopos_minor_291108.jpg
dziwonia;Common rosefinch;Carpodacus erythrinus;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Carpodacus_erythrinus_20060623.jpg/150px-Carpodacus_erythrinus_20060623.jpg
dzwoniec;European greenfinch;Chloris chloris;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/European_Greenfinch_male_female.jpg/150px-European_Greenfinch_male_female.jpg
edredon;Common eider;Somateria mollissima;A;pod ścisłą ochroną;Anseriformes;Anatidae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Somateria_mollissima_male_female.jpg/150px-Somateria_mollissima_male_female.jpg
flaming różowy;Greater flamingo;Phoenicopterus roseus;A;pod ścisłą ochroną;Phoenicopteriformes;Phoenicopteridae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Phoenicopterus_roseus_%28Walvis_Bay%29.jpg/150px-Phoenicopterus_roseus_%28Walvis_Bay%29.jpg
fulmar;Northern fulmar;Fulmarus glacialis;A;pod ścisłą ochroną;Procellariiformes;Procellariidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Eissturmvogel02.jpg/150px-Eissturmvogel02.jpg
gadożer;Short-toed snake-eagle;Circaetus gallicus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Accipitriformes;Accipitridae;l P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Circaetus_gallicus_02.jpg/150px-Circaetus_gallicus_02.jpg
gajówka;Garden warbler;Sylvia borin;A;pod ścisłą ochroną;Passeriformes;Sylviidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Sylvia_borin_%28%C3%96rebro_County%29.jpg/150px-Sylvia_borin_%28%C3%96rebro_County%29.jpg
gawron;Rook;Corvus frugilegus;A;pod ścisłą ochroną, osobniki w obszarze administracyjnym miast – ochrona częściowa;Passeriformes;Corvidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Corvus_frugilegus_2.jpg/150px-Corvus_frugilegus_2.jpg
gągoł;Common goldeneye;Bucephala clangula;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Anseriformes;Anatidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Bucephala_clangula.jpg/150px-Bucephala_clangula.jpg
gąsiorek;Red-backed shrike;Lanius collurio;A;pod ścisłą ochroną;Passeriformes;Laniidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Neuntoeter.JPG/150px-Neuntoeter.JPG
gęgawa;Graylag goose;Anser anser;A;łowny z okresem ochronnym;Anseriformes;Anatidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Greylag_Goose_%28Anser_anser%29.jpg/150px-Greylag_Goose_%28Anser_anser%29.jpg
gęsiówka egipska;Egyptian goose;Alopochen aegyptiaca;C;;Anseriformes;Anatidae;l P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Alopochen-aegyptiacus.jpg/150px-Alopochen-aegyptiacus.jpg
gęś białoczelna;Greater white-fronted goose;Anser albifrons;A;łowny z okresem ochronnym;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Anser_albifrons_sponsa_Colusa_NWR.jpg/150px-Anser_albifrons_sponsa_Colusa_NWR.jpg
gęś krótkodzioba;Pink-footed goose;Anser brachyrhynchus;A;pod ścisłą ochroną;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Anser_brachyrhynchus_%28Norway%29.jpg/150px-Anser_brachyrhynchus_%28Norway%29.jpg
gęś mała;Lesser white-fronted goose;Anser erythropus;A;pod ścisłą ochroną;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Anser_erythropus.jpg/150px-Anser_erythropus.jpg
gęś tundrowa;Tundra bean-goose;Anser serrirostris;A;;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Tundra_Bean_Goose.jpg/150px-Tundra_Bean_Goose.jpg
gęś zbożowa;Taiga bean-goose;Anser fabalis;A;łowny z okresem ochronnym;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Bean.goose.600pix.jpg/150px-Bean.goose.600pix.jpg
gil;Eurasian bullfinch;Pyrrhula pyrrhula;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Dompap.jpg/150px-Dompap.jpg
gilak pustynny;Trumpeter finch;Bucanetes githagineus;A;;Passeriformes;Fringillidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Bucanetes_githagineus%2C_Gran_Canaria_2.jpg/150px-Bucanetes_githagineus%2C_Gran_Canaria_2.jpg
głowienka;Common pochard;Aythya ferina;A;łowny z okresem ochronnym;Anseriformes;Anatidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/20050514-003-aythya-ferina.jpg/150px-20050514-003-aythya-ferina.jpg
głuptak;Northern gannet;Morus bassanus;A;pod ścisłą ochroną;Suliformes;Sulidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Northern-Gannet-6.jpg/150px-Northern-Gannet-6.jpg
głuszec;Western capercaillie;Tetrao urogallus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Galliformes;Phasianidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Capercaillie%281%29.jpg/150px-Capercaillie%281%29.jpg
głuszek;Rock bunting;Emberiza cia;A;pod ścisłą ochroną;Passeriformes;Emberizidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Emberiza_cia.jpg/150px-Emberiza_cia.jpg
gołąb miejski;Feral pigeon;Columba livia;C;objęty ochroną częściową;Columbiformes;Columbidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Wohlgen%C3%A4hrte_Stadttauben.jpg/150px-Wohlgen%C3%A4hrte_Stadttauben.jpg
górniczek;Horned lark;Eremophila alpestris;A;pod ścisłą ochroną;Passeriformes;Alaudidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Eremophila_alpestris2.jpg/150px-Eremophila_alpestris2.jpg
grubodziób;Hawfinch;Coccothraustes coccothraustes;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Grubodzi%C3%B3b_Zwyczajny.jpg/150px-Grubodzi%C3%B3b_Zwyczajny.jpg
grzywacz;Common wood-pigeon;Columba palumbus;A;łowny z okresem ochronnym;Columbiformes;Columbidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/The_world%27s_largest_woodpigeon.jpg/150px-The_world%27s_largest_woodpigeon.jpg
hełmiatka;Red-crested pochard;Netta rufina;A;pod ścisłą ochroną;Anseriformes;Anatidae;l P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Red-crested.pochard.slimbridge.arp.jpg/150px-Red-crested.pochard.slimbridge.arp.jpg
hubara arabska;Macqueen's bustard;Chlamydotis macqueenii;A;pod ścisłą ochroną;Otidiformes;Otididae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/BustardsLyd4.jpg/150px-BustardsLyd4.jpg
ibis kasztanowaty;Glossy ibis;Plegadis falcinellus;A;pod ścisłą ochroną;Pelecaniformes;Threskiornithidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Glossy_Ibis_RWD.jpg/150px-Glossy_Ibis_RWD.jpg
jarząbek;Hazel grouse;Tetrastes bonasia;A;łowny z okresem ochronnym;Galliformes;Phasianidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Haselhuhn-01.jpg/150px-Haselhuhn-01.jpg
jarzębatka;Barred warbler;Curruca nisoria;A;pod ścisłą ochroną;Passeriformes;Sylviidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Sylvia_nisoria.jpg/150px-Sylvia_nisoria.jpg
jaskółka rudawa;Red-rumped swallow;Cecropis daurica;A;pod ścisłą ochroną;Passeriformes;Hirundinidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Red-rumped_Swallow_%28Hirundo_daurica%29_in_Anantgiri%2C_AP_W_IMG_8735.jpg/150px-Red-rumped_Swallow_%28Hirundo_daurica%29_in_Anantgiri%2C_AP_W_IMG_8735.jpg
jastrząb;Northern goshawk;Accipiter gentilis;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Northern_Goshawk_ad_M2.jpg/150px-Northern_Goshawk_ad_M2.jpg
jemiołuszka;Bohemian waxwing;Bombycilla garrulus;A;pod ścisłą ochroną;Passeriformes;Bombycillidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Bohemian_Wax_Wing.jpg/150px-Bohemian_Wax_Wing.jpg
jer;Brambling;Fringilla montifringilla;A;pod ścisłą ochroną;Passeriformes;Fringillidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Bjorkefink_0003.jpg/150px-Bjorkefink_0003.jpg
jerzyk;Common swift;Apus apus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Apodiformes;Apodidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/ApusApusKlausRoggel01.jpg/150px-ApusApusKlausRoggel01.jpg
jerzyk alpejski;Alpine Swift;Tachymarptis melba;A;pod ścisłą ochroną;Apodiformes;Apodidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Avo_apumel10.jpg/150px-Avo_apumel10.jpg
jerzyk blady;Pallid swift;Apus pallidus;A;pod ścisłą ochroną;Apodiformes;Apodidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Apuspallidus_9043.JPG/150px-Apuspallidus_9043.JPG
junko;Dark-eyed junco;Junco hyemalis;A;pod ścisłą ochroną;Passeriformes;Passerellidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Junco_hyemalis_hyemalis-001.jpg/150px-Junco_hyemalis_hyemalis-001.jpg
kalandra czarna;Black lark;Melanocorypha yeltoniensis;A;pod ścisłą ochroną;Passeriformes;Alaudidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Zwarte_leeuwerik.jpg/150px-Zwarte_leeuwerik.jpg
kalandra dwuplamista;Bimaculated Lark;Melanocorypha bimaculata;A;pod ścisłą ochroną;Passeriformes;Alaudidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Melanocorypha_bimaculata.jpg/150px-Melanocorypha_bimaculata.jpg
kalandra szara;Calandra lark;Melanocorypha calandra;A;pod ścisłą ochroną;Passeriformes;Alaudidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Bere%C5%9Fe.jpg/150px-Bere%C5%9Fe.jpg
kamieniuszka;Harlequin duck;Histrionicus histrionicus;A;pod ścisłą ochroną;Anseriformes;Anatidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Histrionicus_histrionicus_drake_Barnegat.jpg/150px-Histrionicus_histrionicus_drake_Barnegat.jpg
kamusznik;Ruddy turnstone;Arenaria interpres;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Arenaria_interpres_%28habitus%29.jpg/150px-Arenaria_interpres_%28habitus%29.jpg
kania czarna;Black kite;Milvus migrans;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Accipitriformes;Accipitridae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Milvus_migrans_front%28ThKraft%29.jpg/150px-Milvus_migrans_front%28ThKraft%29.jpg
kania ruda;Red kite;Milvus milvus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Accipitriformes;Accipitridae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Milvus_milvus_R%28ThKraft%29.jpg/150px-Milvus_milvus_R%28ThKraft%29.jpg
kaniuk;Black-winged kite;Elanus caeruleus;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Black-shouldered_Kite_%28Elanus_caeruleus%29_in_Kawal_WS%2C_AP_W_IMG_1681.jpg/150px-Black-shouldered_Kite_%28Elanus_caeruleus%29_in_Kawal_WS%2C_AP_W_IMG_1681.jpg
kapturka;Eurasian blackcap;Sylvia atricapilla;A;pod ścisłą ochroną;Passeriformes;Sylviidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Sylvia_atricapilla_male_2.jpg/150px-Sylvia_atricapilla_male_2.jpg
karliczka;Baillon's crake;Zapornia pusilla;A;pod ścisłą ochroną;Gruiformes;Rallidae;l Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Baillon%27s_crake.jpg/150px-Baillon%27s_crake.jpg
kawka;Western Jackdaw;Coloeus monedula;A;pod ścisłą ochroną;Passeriformes;Corvidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Corvus_monedula_-Netherlands-8-2c.jpg/150px-Corvus_monedula_-Netherlands-8-2c.jpg
kazarka rdzawa;Ruddy shelduck;Tadorna ferruginea;A;pod ścisłą ochroną;Anseriformes;Anatidae;(l) P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Ruddy_Shelduck_489.jpg/150px-Ruddy_Shelduck_489.jpg
kląskawka;European stonechat;Saxicola rubicola;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Malestonechatseaham.JPG/150px-Malestonechatseaham.JPG
kląskawka syberyjska;Siberian stonechat;Saxicola maurus;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Common_Stonechat_I_-Haryana_IMG_9865.jpg/150px-Common_Stonechat_I_-Haryana_IMG_9865.jpg
kobczyk;Red-footed falcon;Falco vespertinus;A;pod ścisłą ochroną;Falconiformes;Falconidae;(l) P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Falco_vespertinus.jpg/150px-Falco_vespertinus.jpg
kobuz;Eurasian hobby;Falco subbuteo;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Falconiformes;Falconidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Falco_subbuteo_flying.jpg/150px-Falco_subbuteo_flying.jpg
kokoszka;Eurasian moorhen;Gallinula chloropus;A;pod ścisłą ochroną;Gruiformes;Rallidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Moorhen.jpg/150px-Moorhen.jpg
kopciuszek;Black redstart;Phoenicurus ochruros;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Phoenicurus_ochruros_female.jpg/150px-Phoenicurus_ochruros_female.jpg
kormoran;Great cormorant;Phalacrocorax carbo;A;objęty ochroną częściową;Suliformes;Phalacrocoracidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Phalacrocorax_carbo_Vic.jpg/150px-Phalacrocorax_carbo_Vic.jpg
kormoran czubaty;European shag;Gulosus aristotelis;A;pod ścisłą ochroną;Suliformes;Phalacrocoracidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Shag_Phalacrocorax_aristotelis.jpg/150px-Shag_Phalacrocorax_aristotelis.jpg
kormoran mały;Pygmy cormorant;Microcarbo pygmeus;A;pod ścisłą ochroną;Suliformes;Phalacrocoracidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Phalacrocorax_pygmeus_1_%28Martin_Mecnarowski%29.jpg/150px-Phalacrocorax_pygmeus_1_%28Martin_Mecnarowski%29.jpg
kos;Eurasian blackbird;Turdus merula;A;pod ścisłą ochroną;Passeriformes;Turdidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Kos_Turdus_merulaRB.jpg/150px-Kos_Turdus_merulaRB.jpg
kowalik;Eurasian nuthatch;Sitta europaea;A;pod ścisłą ochroną;Passeriformes;Sittidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Sitta_europaea_Luc_Viatour.jpg/150px-Sitta_europaea_Luc_Viatour.jpg
krakwa;Gadwall;Mareca strepera;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Anseriformes;Anatidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Anas_strepera_FWS.jpg/150px-Anas_strepera_FWS.jpg
kraska;European roller;Coracias garrulus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Coraciiformes;Coraciidae;l P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/European_roller.jpg/150px-European_roller.jpg
krętogłów;Eurasian wryneck;Jynx torquilla;A;pod ścisłą ochroną;Piciformes;Picidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/22804_Draaihals_%283318438707%29.jpg/150px-22804_Draaihals_%283318438707%29.jpg
krogulec;Eurasian sparrowhawk;Accipiter nisus;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Accipiter_nisus_kill.jpg/150px-Accipiter_nisus_kill.jpg
krogulec krótkonogi;Levant sparrowhawk;Accipiter brevipes;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Accipiter_brevipes.jpg/150px-Accipiter_brevipes.jpg
kropiatka;Spotted crake;Porzana porzana;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Gruiformes;Rallidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/MG_019417--1-0--2009.jpg/150px-MG_019417--1-0--2009.jpg
kruk;Common raven;Corvus corax;A;objęty ochroną częściową;Passeriformes;Corvidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Common_raven_by_David_Hofmann.jpg/150px-Common_raven_by_David_Hofmann.jpg
krwawodziób;Common redshank;Tringa totanus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Charadriiformes;Scolopacidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Common_Redshank_Tringa_totanus.jpg/150px-Common_Redshank_Tringa_totanus.jpg
krzyżodziób modrzewiowy;White-winged crossbill;Loxia leucoptera;A;pod ścisłą ochroną;Passeriformes;Fringillidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Whitewingedcrossbillmale09.jpg/150px-Whitewingedcrossbillmale09.jpg
krzyżodziób sosnowy;Parrot crossbill;Loxia pytyopsittacus;A;pod ścisłą ochroną;Passeriformes;Fringillidae;(l) Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Loxia_pytyopsittacus%2C_male.jpg/150px-Loxia_pytyopsittacus%2C_male.jpg
krzyżodziób świerkowy;Red crossbill;Loxia curvirostra;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Red_Crossbills_%28Male%29.jpg/150px-Red_Crossbills_%28Male%29.jpg
krzyżówka;Mallard;Anas platyrhynchos;A;łowny z okresem ochronnym;Anseriformes;Anatidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg/150px-Anas_platyrhynchos_male_female_quadrat.jpg
kszyk;Common snipe;Gallinago gallinago;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Gallinago_gallinago_1_%28Marek_Szczepanek%29.jpg/150px-Gallinago_gallinago_1_%28Marek_Szczepanek%29.jpg
kukułka;Common cuckoo;Cuculus canorus;A;pod ścisłą ochroną;Cuculiformes;Cuculidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Kuckuck_im_Flug_v._J._Schmidt.jpg/150px-Kuckuck_im_Flug_v._J._Schmidt.jpg
kulczyk;European serin;Serinus serinus;A;pod ścisłą ochroną;Passeriformes;Fringillidae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Girlitz.jpg/150px-Girlitz.jpg
kulik cienkodzioby;Slender-billed curlew;Numenius tenuirostris;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Numenius_tenuirostris.jpg/150px-Numenius_tenuirostris.jpg
kulik mniejszy;Whimbrel;Numenius phaeopus;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Whimbrel_Numenius_phaeopus.jpg/150px-Whimbrel_Numenius_phaeopus.jpg
kulik wielki;Eurasian curlew;Numenius arquata;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Charadriiformes;Scolopacidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Numenius_arquata_Reculver.jpg/150px-Numenius_arquata_Reculver.jpg
kulon;Eurasian thick-knee;Burhinus oedicnemus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Charadriiformes;Burhinidae;(l) Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Eurasian_Thicknee_-_Along_Po_river_-_Italy_FJ0A1202_%2828252446508%29.jpg/150px-Eurasian_Thicknee_-_Along_Po_river_-_Italy_FJ0A1202_%2828252446508%29.jpg
kurhannik;Long-legged buzzard;Buteo rufinus;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Adlerbussard.jpg/150px-Adlerbussard.jpg
kuropatwa;Gray partridge;Perdix perdix;A;łowny z okresem ochronnym;Galliformes;Phasianidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Perdix_perdix_%28Marek_Szczepanek%29.jpg/150px-Perdix_perdix_%28Marek_Szczepanek%29.jpg
kwiczoł;Fieldfare;Turdus pilaris;A;pod ścisłą ochroną;Passeriformes;Turdidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/Turdus_pilaris2.jpg/150px-Turdus_pilaris2.jpg
kwokacz;Common greenshank;Tringa nebularia;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Gr%C3%BCnschenkel_Tringa_nebularia.jpg/150px-Gr%C3%BCnschenkel_Tringa_nebularia.jpg
lelek;Eurasian nightjar;Caprimulgus europaeus;A;pod ścisłą ochroną;Caprimulgiformes;Caprimulgidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Paukstelis.jpg/150px-Paukstelis.jpg
lerka;Wood lark;Lullula arborea;A;pod ścisłą ochroną;Passeriformes;Alaudidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Lullula_arborea_%28Rodrigo_de_Almeida%29.jpg/150px-Lullula_arborea_%28Rodrigo_de_Almeida%29.jpg
